FLUKE 287,  V1.16,38020004,,,,,,,,
,,,,,,,,,,
To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0',,,,,,,,,,
,,,,,,,,,,
Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name,,,
4/7/2021 13:45,4/7/2021 13:49,0:04:08,0:00:02,168,125,48,Save 33,,,
Max Time,Max,Average,Min,Min Time,Scaling,,,,,
4/7/2021 13:46,151.3,79.5,26.8,4/7/2021 13:45,(none),,,,,
,,,,,,,,,,
Reading,,Start Time,Duration,Max Time,Max °C,Average °C,Min Time,Min °C,Description,Stop Time
8,Max,46.1,45:38.8,,,,,,,
9,Sample,46.9,45:39.2,47.93333333,,,,,,
9,Min,46.9,45:39.2,,,,,,,
9,Max,48.9,45:39.9,,,,,,,
10,Sample,49.7,45:40.3,50.25,,,,,,
10,Min,49.7,45:40.3,,,,,,,
10,Max,50.8,45:40.7,,,,,,,
11,Sample,51.6,45:41.1,52.53333333,,,,,,
11,Min,51.6,45:41.1,,,,,,,
11,Max,53.6,45:41.9,,,,,,,
12,Sample,54.4,45:42.2,54.8,,,,,,
12,Min,54.4,45:42.2,,,,,,,
12,Max,55.2,45:42.5,,,,,,,
13,Sample,56.3,45:43.0,57.16666667,,,,,,
13,Min,56.3,45:43.0,,,,,,,
13,Max,58,45:43.6,,,,,,,
14,Sample,59.1,45:44.1,59.93333333,,,,,,
14,Min,59.1,45:44.1,,,,,,,
14,Max,60.7,45:44.8,,,,,,,
15,Sample,61.9,45:45.2,63.225,,,,,,
15,Min,61.9,45:45.2,,,,,,,
15,Max,64.7,45:46.4,,,,,,,
16,Sample,65.6,45:46.7,65.6,,,,,,
16,Max,65.6,45:46.7,,,,,,,
16,Min,65.6,45:46.7,,,,,,,
17,Sample,66.4,45:47.0,67.975,,,,,,
17,Min,66.4,45:47.0,,,,,,,
17,Max,69.4,45:48.1,,,,,,,
18,Sample,70.7,45:48.6,71.1,,,,,,
18,Min,70.7,45:48.6,,,,,,,
18,Max,71.5,45:48.9,,,,,,,
19,Sample,72.4,45:49.3,74.2,,,,,,
19,Min,72.4,45:49.3,,,,,,,
19,Max,75.8,45:50.4,,,,,,,
20,Sample,77.2,45:50.8,77.2,,,,,,
20,Max,77.2,45:50.8,,,,,,,
20,Min,77.2,45:50.8,,,,,,,
21,Sample,78.3,45:51.2,79.56666667,,,,,,
21,Min,78.3,45:51.2,,,,,,,
21,Max,81,45:52.0,,,,,,,
22,Sample,82.2,45:52.3,82.85,,,,,,
22,Min,82.2,45:52.3,,,,,,,
22,Max,83.5,45:52.6,,,,,,,
23,Sample,85.1,45:53.1,86.3,,,,,,
23,Min,85.1,45:53.1,,,,,,,
23,Max,87.5,45:53.8,,,,,,,
24,Sample,89.4,45:54.2,90.8,,,,,,
24,Min,89.4,45:54.2,,,,,,,
24,Max,92.2,45:54.9,,,,,,,
25,Sample,94.3,45:55.3,95.83333333,,,,,,
25,Min,94.3,45:55.3,,,,,,,
25,Max,97.4,45:56.0,,,,,,,
26,Sample,99.6,45:56.5,100.35,,,,,,
26,Min,99.6,45:56.5,,,,,,,
26,Max,101.1,45:56.8,,,,,,,
27,Sample,102.6,45:57.1,104.5,,,,,,
27,Min,102.6,45:57.1,,,,,,,
27,Max,106.2,45:57.9,,,,,,,
28,Sample,107.8,45:58.2,108.8,,,,,,
28,Min,107.8,45:58.2,,,,,,,
28,Max,109.8,45:58.7,,,,,,,
29,Sample,111.1,45:59.0,112.98,,,,,,
29,Min,111.1,45:59.0,,,,,,,
29,Max,115.3,46:00.5,,,,,,,
30,Sample,116.7,46:01.0,116.7,,,,,,
30,Max,116.7,46:01.0,,,,,,,
30,Min,116.7,46:01.0,,,,,,,
31,Sample,117.8,46:01.3,120,,,,,,
31,Min,117.8,46:01.3,,,,,,,
31,Max,122.3,46:02.4,,,,,,,
32,Sample,123.6,46:02.7,123.6,,,,,,
32,Max,123.6,46:02.7,,,,,,,
32,Min,123.6,46:02.7,,,,,,,
33,Sample,124.7,46:03.2,126.7833333,,,,,,
33,Min,124.7,46:03.2,,,,,,,
33,Max,129.3,46:05.0,,,,,,,
34,Sample,130.5,46:05.4,133.32,,,,,,
34,Min,130.5,46:05.4,,,,,,,
34,Max,136.3,46:06.9,,,,,,,
35,Sample,137.5,46:07.2,139.96,,,,,,
35,Min,137.5,46:07.2,,,,,,,
35,Max,142.2,46:08.8,,,,,,,
36,Sample,142.7,46:09.1,144.52,,,,,,
36,Min,142.7,46:09.1,,,,,,,
36,Max,146.4,46:10.6,,,,,,,
37,Sample,147.2,46:11.0,147.95,,,,,,
37,Min,147.2,46:11.0,,,,,,,
37,Max,148.9,46:12.8,,,,,,,
38,Sample,149.2,46:13.3,150.28,,,,,,
38,Min,149.2,46:13.3,,,,,,,
38,Max,151.3,46:14.7,,,,,,,
39,Sample,151.3,46:15.1,151.06,,,,,,
39,Max,151.3,46:15.1,,,,,,,
39,Min,150.9,46:16.7,,,,,,,
40,Sample,150.8,46:17.0,149.95,,,,,,
40,Max,150.8,46:17.0,,,,,,,
40,Min,149,46:18.9,,,,,,,
41,Sample,148.6,46:19.2,146.96,,,,,,
41,Max,148.6,46:19.2,,,,,,,
41,Min,144.9,46:20.7,,,,,,,
42,Sample,142.8,46:21.1,139.875,,,,,,
42,Max,142.8,46:21.1,,,,,,,
42,Min,136.4,46:22.3,,,,,,,
43,Sample,134.2,46:22.6,133.15,,,,,,
43,Max,134.2,46:22.6,,,,,,,
43,Min,132.1,46:22.9,,,,,,,
44,Sample,129,46:23.4,126.8,,,,,,
44,Max,129,46:23.4,,,,,,,
44,Min,124.6,46:24.1,,,,,,,
45,Sample,121.5,46:24.5,120.4,,,,,,
45,Max,121.5,46:24.5,,,,,,,
45,Min,119.3,46:24.8,,,,,,,
46,Sample,117.2,46:25.2,114.5333333,,,,,,
46,Max,117.2,46:25.2,,,,,,,
46,Min,112.2,46:26.0,,,,,,,
47,Sample,110.2,46:26.3,108.9,,,,,,
47,Max,110.2,46:26.3,,,,,,,
47,Min,107.6,46:26.8,,,,,,,
48,Sample,105.9,46:27.1,104.1,,,,,,
48,Max,105.9,46:27.1,,,,,,,
48,Min,102.1,46:27.9,,,,,,,
49,Sample,100.6,46:28.2,99.9,,,,,,
49,Max,100.6,46:28.2,,,,,,,
49,Min,99.2,46:28.5,,,,,,,
50,Sample,97.3,46:29.0,95.275,,,,,,
50,Max,97.3,46:29.0,,,,,,,
50,Min,93.1,46:30.1,,,,,,,
51,Sample,91.9,46:30.4,91.35,,,,,,
51,Max,91.9,46:30.4,,,,,,,
51,Min,90.8,46:30.8,,,,,,,
52,Sample,89.2,46:31.2,87.45,,,,,,
52,Max,89.2,46:31.2,,,,,,,
52,Min,85.5,46:32.4,,,,,,,
53,Sample,84.4,46:32.7,84.4,,,,,,
53,Max,84.4,46:32.7,,,,,,,
53,Min,84.4,46:32.7,,,,,,,
54,Sample,83.4,46:33.0,81.525,,,,,,
54,Max,83.4,46:33.0,,,,,,,
54,Min,79.9,46:34.1,,,,,,,
55,Sample,78.5,46:34.6,78,,,,,,
55,Max,78.5,46:34.6,,,,,,,
55,Min,77.5,46:34.9,,,,,,,
56,Sample,76.6,46:35.3,75,,,,,,
56,Max,76.6,46:35.3,,,,,,,
56,Min,73.6,46:36.4,,,,,,,
57,Sample,72.3,46:36.9,72.3,,,,,,
57,Max,72.3,46:36.9,,,,,,,
57,Min,72.3,46:36.9,,,,,,,
58,Sample,71.5,46:37.2,70.125,,,,,,
58,Max,71.5,46:37.2,,,,,,,
58,Min,68.7,46:38.3,,,,,,,
59,Sample,67.9,46:38.6,67.9,,,,,,
59,Max,67.9,46:38.6,,,,,,,
59,Min,67.9,46:38.6,,,,,,,
60,Sample,66.8,46:39.1,65.65,,,,,,
60,Max,66.8,46:39.1,,,,,,,
60,Min,64.4,46:40.2,,,,,,,
61,Sample,63.6,46:40.5,63.3,,,,,,
61,Max,63.6,46:40.5,,,,,,,
