Column1	Column2	Column3	Column4	Column5	Column6	Column7
						
Test Method	TENSILE LMSMA.msm					
Sample I. D.	MingearLMSMA.mss					
Specimen Number	7					
						
Time (s)	Load (N)	Stress (MPa)	_COM1 (C)	Crosshead (mm)	_Strain2 (mm)	Strain (mm/mm)
						
527.000	3236.708	123.550	0.000	1.339	0.000	0.411
533.400	3352.055	127.953	0.000	1.347	-0.000	0.413
539.800	3376.364	128.881	0.000	1.354	-0.000	0.415
546.200	3221.032	122.952	0.000	1.335	-0.000	0.409
552.600	3393.743	129.545	0.000	1.331	-0.000	0.408
559.000	3252.995	124.172	0.000	1.322	-0.000	0.405
565.400	3328.993	127.073	0.000	1.316	-0.000	0.403
571.800	3326.648	126.983	0.000	1.319	0.000	0.404
578.200	3223.177	123.034	0.000	1.309	-0.000	0.401
584.600	3306.192	126.203	0.000	1.313	-0.000	0.402
591.000	3373.277	128.763	0.000	1.325	-0.000	0.406
597.400	3380.413	129.036	0.000	1.338	0.000	0.410
603.800	3374.806	128.822	0.000	1.361	-0.000	0.418
610.200	3368.128	128.567	0.000	1.398	-0.000	0.429
616.600	3248.798	124.012	0.000	1.450	-0.000	0.446
623.000	3288.615	125.532	0.000	1.524	-0.000	0.469
629.400	3322.225	126.815	0.000	1.626	0.000	0.501
635.800	3345.491	127.703	0.000	1.739	-0.000	0.537
642.200	3290.917	125.619	0.000	1.855	-0.000	0.573
648.600	3213.418	122.661	0.000	1.973	-0.000	0.610
655.000	3333.989	127.264	0.000	2.107	-0.000	0.652
661.400	3309.178	126.317	0.000	2.234	-0.000	0.692
667.800	3331.227	127.158	0.000	2.350	0.000	0.729
674.200	3284.000	125.355	0.000	2.459	-0.000	0.763
680.600	3250.275	124.068	0.000	2.557	-0.000	0.794
687.000	3349.815	127.868	0.000	2.667	0.000	0.829
693.400	3258.791	124.393	0.000	2.753	-0.000	0.856
699.800	3265.576	124.652	0.000	2.842	-0.000	0.884
706.200	3353.238	127.998	0.000	2.931	-0.000	0.912
712.600	3252.465	124.152	0.000	3.002	-0.000	0.934
719.000	3306.835	126.227	0.000	3.080	-0.000	0.959
725.400	3291.517	125.642	0.000	3.130	-0.000	0.975
731.800	3323.525	126.864	0.000	3.192	-0.000	0.994
