"Test Method,""3Point_Bending.msm"""
"Sample I. D.,""Sample34.mss"""
"Specimen Number,""2"""

"Time (s),""Load (N)"",""Extension (mm)"",""_COM1 (C)"",""FlexureStress (MPa)"",""FlexureStrain (mm/mm)"""
"48.010,-1330.334,-0.422,105.100,-99.775,****"
"48.400,-1352.279,-0.427,105.100,-101.421,****"
"48.600,-1294.218,-0.418,105.100,-97.066,****"
"48.800,-1363.210,-0.424,105.100,-102.241,****"
"49.000,-1310.354,-0.423,105.000,-98.277,****"
"49.200,-1334.322,-0.420,105.000,-100.074,****"
"49.400,-1340.118,-0.428,105.000,-100.509,****"
"49.600,-1304.736,-0.417,105.000,-97.855,****"
"49.800,-1361.972,-0.425,105.000,-102.148,****"
"50.000,-1309.085,-0.423,105.000,-98.181,****"
"50.200,-1335.508,-0.420,105.000,-100.163,****"
"50.400,-1338.117,-0.427,104.900,-100.359,****"
"50.600,-1301.783,-0.418,104.900,-97.634,****"
"50.800,-1363.511,-0.425,104.900,-102.263,****"
"51.000,-1309.501,-0.423,104.900,-98.213,****"
"51.000,-1309.501,-0.423,104.900,-98.213,****"
"51.400,-1364.180,-0.428,104.900,-102.313,****"
"51.600,-1376.652,-0.430,104.900,-103.249,****"
"51.800,-1388.513,-0.432,104.900,-104.139,****"
"52.000,-1401.535,-0.434,104.900,-105.115,****"
"52.200,-1412.891,-0.436,104.900,-105.967,****"
"52.400,-1424.841,-0.438,104.900,-106.863,****"
"52.600,-1436.766,-0.440,104.900,-107.757,****"
"52.800,-1449.069,-0.442,104.900,-108.680,****"
"53.000,-1460.938,-0.444,104.900,-109.570,****"
"53.200,-1473.179,-0.446,104.900,-110.488,****"
"53.400,-1484.856,-0.448,104.900,-111.364,****"
"53.600,-1497.036,-0.450,104.900,-112.278,****"
"53.800,-1509.241,-0.452,104.900,-113.193,****"
"54.000,-1521.580,-0.454,104.900,-114.119,****"
"54.200,-1533.645,-0.456,104.900,-115.023,****"
"54.400,-1546.155,-0.458,104.900,-115.962,****"
"54.600,-1558.836,-0.460,104.900,-116.913,****"
"54.800,-1570.709,-0.462,104.900,-117.803,****"
"55.000,-1582.841,-0.464,104.900,-118.713,****"
"55.200,-1596.030,-0.466,104.900,-119.702,****"
"55.400,-1607.334,-0.468,104.900,-120.550,****"
"55.600,-1620.685,-0.470,104.900,-121.551,****"
"55.800,-1632.922,-0.472,104.900,-122.469,****"
"56.000,-1645.169,-0.474,104.900,-123.388,****"
"56.200,-1657.900,-0.476,104.900,-124.343,****"
"56.400,-1670.689,-0.478,104.900,-125.302,****"
