"Test Method:,""3Point_Bending.msm"""

"Sample,""Spcmn"",""Width"",""Thickness"",""Peak Load"",""Peak Stress"",""Strain At Break"",""Modulus"",""Stress At Yield"",""Strain At Yield"",""Load At Yield"",""Elongation At Break"",""Elongation at Peak"",""Adjusted Gage Length"",""FlexuralStress"",""FlexuralStrain"""
"I. D.,""No."",""mm"",""mm"",""N"",""MPa"",""mm/mm"",""MPa"",""MPa"",""mm/mm"",""N"",""mm"",""mm"",""mm"",""MPa"",""mm/mm"""

"Sample34.mss,""1"",""40.000"",""5.000"",""-1.761"",""-0.0"",""****"",""****"",""-0.024"",""-0.009"",""-4.836"",""****"",""-0.003"",""3.175"",""-198.98"",""-0.013"""
"Sample34.mss,""2"",""40.000"",""5.000"",""-4.395"",""-0.0"",""****"",""****"",""-3.327"",""-0.090"",""-665.328"",""****"",""-0.003"",""3.175"",""-249.97"",""-0.009"""
"Sample34.mss,""3"",""40.000"",""5.000"",""-17.235"",""-0.1"",""****"",""****"",""-3.328"",""-0.081"",""-665.624"",""****"",""-0.003"",""3.175"",""-49.94"",""-0.005"""


"Test Method,""3Point_Bending.msm"""
"Sample I. D.,""Sample34.mss"""
"Specimen Number,""3"""

"Time (s),""Load (N)"",""Extension (mm)"",""_COM1 (C)"",""FlexureStress (MPa)"",""FlexureStrain (mm/mm)"""
"1319.400,-665.860,-0.352,71.400,-49.939,****"
"1332.200,-665.925,-0.354,71.100,-49.944,****"
"1345.000,-665.839,-0.356,70.600,-49.938,****"
"1357.800,-666.210,-0.359,70.100,-49.966,****"
"1370.600,-665.871,-0.361,69.800,-49.940,****"
"1383.400,-665.937,-0.363,69.300,-49.945,****"
"1396.200,-666.082,-0.366,69.000,-49.956,****"
"1409.000,-665.822,-0.368,68.300,-49.937,****"
"1421.800,-665.579,-0.370,68.100,-49.918,****"
"1434.600,-665.952,-0.373,67.500,-49.946,****"
"1447.400,-665.586,-0.375,67.100,-49.919,****"
"1460.200,-666.112,-0.378,66.600,-49.958,****"
"1473.000,-665.832,-0.380,66.400,-49.937,****"
"1485.800,-665.869,-0.383,65.800,-49.940,****"
"1498.600,-665.974,-0.385,65.600,-49.948,****"
"1511.400,-665.874,-0.388,65.000,-49.941,****"
"1524.200,-665.551,-0.390,64.700,-49.916,****"
"1537.000,-666.126,-0.393,64.000,-49.959,****"
"1549.800,-666.132,-0.396,63.900,-49.960,****"
"1562.600,-665.444,-0.398,63.300,-49.908,****"
"1575.400,-666.057,-0.401,62.800,-49.954,****"
"1588.200,-665.813,-0.404,62.600,-49.936,****"
"1601.000,-665.754,-0.406,62.100,-49.932,****"
"1613.800,-665.658,-0.409,61.600,-49.924,****"
"1626.600,-665.648,-0.411,61.300,-49.924,****"
"1639.400,-665.884,-0.414,60.800,-49.941,****"
"1652.200,-665.439,-0.417,60.300,-49.908,****"
"1665.000,-666.117,-0.419,60.000,-49.959,****"
"1677.800,-665.794,-0.422,59.500,-49.935,****"
"1690.600,-665.522,-0.425,59.000,-49.914,****"
"1703.400,-665.863,-0.428,58.700,-49.940,****"
"1716.200,-665.949,-0.430,58.200,-49.946,****"
"1729.000,-665.808,-0.433,57.900,-49.936,****"
