"Test Method,""SMA-CFTC.msm"""
"Sample I. D.,""+7 cycles.mss"""
"Specimen Number,""1"""

"Time (h),""Load (N)"",""Crosshead (in)"",""Temperature Chamber (C)"",""Extension (mm)"",""Stress (MPa)"""
"0.078,477.342,0.02768,50.00,0.524,1046.719"
"0.079,479.458,0.02778,50.00,0.526,1051.358"
"0.079,481.644,0.02788,50.00,0.529,1056.152"
"0.079,483.776,0.02797,50.00,0.531,1060.827"
"0.079,485.905,0.02807,50.00,0.534,1065.495"
"0.080,487.946,0.02817,50.00,0.536,1069.970"
"0.080,490.117,0.02827,50.00,0.539,1074.731"
"0.080,492.238,0.02837,50.00,0.541,1079.382"
"0.081,494.358,0.02846,50.10,0.544,1084.031"
"0.081,496.387,0.02856,50.10,0.546,1088.480"
"0.081,498.340,0.02866,50.10,0.549,1092.763"
"0.081,500.198,0.02876,50.10,0.551,1096.837"
"0.082,502.257,0.02886,50.10,0.554,1101.351"
"0.082,504.367,0.02896,50.10,0.556,1105.980"
"0.082,506.484,0.02905,50.10,0.559,1110.621"
"0.083,508.672,0.02915,50.10,0.561,1115.418"
"0.083,510.846,0.02925,50.10,0.564,1120.185"
"0.083,513.087,0.02935,50.00,0.566,1125.099"
"0.083,515.240,0.02945,50.00,0.569,1129.821"
"0.084,517.385,0.02955,50.10,0.571,1134.524"
"0.084,519.618,0.02965,50.00,0.574,1139.421"
"0.084,521.788,0.02975,50.00,0.576,1144.180"
"0.084,523.951,0.02985,50.00,0.579,1148.924"
"0.085,526.111,0.02994,50.00,0.581,1153.658"
"0.085,528.320,0.03004,50.00,0.584,1158.504"
"0.085,530.467,0.03014,50.00,0.586,1163.211"
"0.086,532.590,0.03024,50.00,0.589,1167.866"
"0.086,534.801,0.03034,50.00,0.591,1172.716"
"0.086,536.859,0.03043,50.00,0.594,1177.227"
"0.086,539.121,0.03054,50.00,0.596,1182.188"
"0.087,541.294,0.03063,50.00,0.599,1186.952"
"0.087,543.466,0.03074,50.00,0.601,1191.716"
"0.087,544.964,0.03083,50.00,0.604,1195.001"
"0.088,547.052,0.03093,50.00,0.606,1199.578"
"0.088,549.340,0.03103,50.00,0.609,1204.595"
"0.088,551.496,0.03113,50.00,0.611,1209.323"
"0.088,553.790,0.03123,50.00,0.614,1214.355"
"0.089,555.938,0.03133,50.00,0.616,1219.064"
"0.089,558.157,0.03142,50.00,0.619,1223.929"
"0.089,560.377,0.03152,50.00,0.621,1228.799"
"0.089,562.519,0.03162,50.00,0.624,1233.496"
"0.090,563.871,0.03172,50.00,0.626,1236.460"
"0.090,565.942,0.03181,50.00,0.629,1241.000"
"0.090,568.161,0.03192,50.00,0.631,1245.866"
"0.091,570.413,0.03202,50.00,0.634,1250.805"
"0.091,572.580,0.03211,50.00,0.636,1255.556"
"0.091,574.834,0.03221,50.00,0.639,1260.500"
"0.091,576.981,0.03231,50.00,0.641,1265.208"
"0.092,579.184,0.03241,50.00,0.644,1270.038"
"0.092,581.351,0.03250,50.00,0.646,1274.789"
"0.092,583.476,0.03260,50.00,0.649,1279.449"
"0.093,585.697,0.03270,50.00,0.651,1284.320"
"0.093,587.941,0.03280,50.00,0.654,1289.241"
"0.093,590.170,0.03290,50.00,0.656,1294.129"
"0.093,592.380,0.03300,50.00,0.659,1298.973"
"0.094,594.578,0.03309,50.00,0.661,1303.795"
"0.094,596.780,0.03319,50.00,0.664,1308.623"
"0.094,598.935,0.03329,50.00,0.666,1313.348"
"0.094,601.121,0.03339,50.00,0.669,1318.141"
"0.095,603.256,0.03348,50.00,0.671,1322.824"
"0.095,605.450,0.03358,50.00,0.674,1327.634"
"0.095,607.664,0.03368,50.00,0.676,1332.489"
"0.096,609.892,0.03378,50.00,0.679,1337.375"
"0.096,612.032,0.03388,50.00,0.681,1342.068"
"0.096,614.200,0.03398,50.00,0.684,1346.822"
"0.096,616.384,0.03407,50.00,0.686,1351.610"
"0.097,618.604,0.03417,50.00,0.689,1356.478"
"0.097,620.810,0.03427,50.00,0.691,1361.315"
"0.097,622.976,0.03437,50.00,0.694,1366.065"
"0.098,625.177,0.03447,50.00,0.696,1370.891"
"0.098,627.376,0.03457,50.00,0.699,1375.714"
"0.098,629.621,0.03467,50.00,0.701,1380.636"
"0.098,631.785,0.03477,50.00,0.704,1385.383"
"0.099,633.894,0.03487,50.00,0.706,1390.007"
"0.099,636.001,0.03496,50.00,0.709,1394.626"
"0.099,637.819,0.03506,50.00,0.711,1398.614"
"0.099,640.020,0.03516,50.00,0.714,1403.439"
"0.100,642.146,0.03526,50.00,0.716,1408.100"
"0.100,643.688,0.03536,50.00,0.719,1411.483"
"0.100,645.879,0.03546,50.10,0.721,1416.287"
"0.101,648.103,0.03556,50.10,0.724,1421.165"
"0.101,650.357,0.03565,50.00,0.726,1426.107"
"0.101,652.498,0.03575,50.00,0.729,1430.802"
"0.101,654.806,0.03585,50.00,0.731,1435.862"
"0.102,657.015,0.03595,50.00,0.734,1440.707"
"0.102,659.289,0.03605,50.00,0.736,1445.692"
"0.102,661.543,0.03614,50.00,0.739,1450.635"
"0.103,663.735,0.03624,50.00,0.741,1455.441"
"0.103,666.021,0.03634,50.00,0.744,1460.454"
"0.103,668.128,0.03644,50.00,0.746,1465.075"
"0.103,670.443,0.03654,50.00,0.749,1470.151"
"0.104,672.666,0.03663,50.00,0.751,1475.027"
"0.104,674.904,0.03673,50.00,0.754,1479.933"
"0.104,677.197,0.03683,50.00,0.756,1484.961"
"0.104,679.322,0.03693,50.00,0.759,1489.622"
"0.105,681.538,0.03703,50.00,0.761,1494.481"
"0.105,683.739,0.03712,50.10,0.764,1499.306"
"0.105,686.000,0.03722,50.00,0.766,1504.264"
"0.106,688.349,0.03732,50.00,0.769,1509.415"
"0.106,690.596,0.03742,50.00,0.771,1514.344"
"0.106,692.848,0.03752,50.00,0.774,1519.282"
"0.106,695.109,0.03762,50.00,0.776,1524.239"
"0.107,697.342,0.03772,50.00,0.779,1529.137"
"0.107,699.064,0.03782,50.00,0.781,1532.912"
"0.107,701.320,0.03792,50.00,0.784,1537.858"
"0.108,703.617,0.03802,50.00,0.786,1542.894"
"0.108,705.951,0.03811,50.00,0.789,1548.014"
"0.108,708.227,0.03821,50.00,0.791,1553.004"
"0.108,710.472,0.03831,50.00,0.794,1557.928"
"0.109,712.701,0.03841,50.00,0.796,1562.816"
"0.109,715.009,0.03851,50.00,0.799,1567.877"
"0.109,717.257,0.03861,50.00,0.801,1572.805"
"0.109,719.490,0.03870,50.00,0.804,1577.703"
"0.110,721.671,0.03880,50.00,0.806,1582.484"
"0.110,723.938,0.03890,50.00,0.809,1587.455"
"0.110,726.211,0.03900,50.00,0.811,1592.440"
"0.111,728.488,0.03909,50.00,0.814,1597.433"
"0.111,730.706,0.03919,50.00,0.816,1602.297"
"0.111,732.930,0.03929,50.00,0.819,1607.172"
"0.111,735.153,0.03939,50.00,0.821,1612.047"
"0.112,737.391,0.03949,50.00,0.824,1616.955"
"0.112,739.663,0.03959,50.00,0.826,1621.937"
"0.112,741.879,0.03968,50.10,0.829,1626.798"
"0.113,744.148,0.03978,50.00,0.831,1631.772"
"0.113,746.403,0.03988,50.00,0.834,1636.716"
"0.113,748.733,0.03998,50.00,0.836,1641.826"
"0.113,750.957,0.04008,50.00,0.839,1646.703"
"0.114,753.189,0.04018,50.00,0.841,1651.596"
"0.114,755.421,0.04028,50.00,0.844,1656.491"
"0.114,757.642,0.04037,50.00,0.846,1661.362"
"0.114,759.896,0.04047,50.00,0.849,1666.305"
"0.115,762.143,0.04057,50.00,0.851,1671.232"
"0.115,764.417,0.04067,50.00,0.854,1676.218"
"0.115,766.693,0.04077,50.00,0.856,1681.208"
"0.116,768.889,0.04087,50.00,0.859,1686.023"
"0.116,771.119,0.04096,50.00,0.861,1690.915"
"0.116,773.277,0.04106,50.00,0.864,1695.647"
"0.116,775.608,0.04116,50.00,0.866,1700.757"
"0.117,777.827,0.04126,50.00,0.869,1705.624"
"0.117,780.076,0.04136,50.00,0.871,1710.554"
"0.117,782.333,0.04146,50.00,0.874,1715.505"
"0.118,784.574,0.04156,50.00,0.876,1720.418"
"0.118,786.825,0.04166,50.00,0.879,1725.355"
"0.118,789.020,0.04175,50.00,0.881,1730.168"
"0.118,791.301,0.04185,50.00,0.884,1735.169"
"0.119,793.549,0.04195,50.00,0.886,1740.099"
"0.119,795.766,0.04205,50.00,0.889,1744.961"
"0.119,797.996,0.04215,50.00,0.891,1749.849"
"0.119,800.169,0.04224,50.00,0.894,1754.616"
"0.120,802.417,0.04234,50.00,0.896,1759.545"
"0.120,804.602,0.04244,50.00,0.899,1764.336"
"0.120,806.917,0.04254,50.00,0.901,1769.413"
"0.121,809.221,0.04264,50.00,0.904,1774.464"
"0.121,811.392,0.04274,50.00,0.906,1779.226"
"0.121,813.640,0.04283,50.00,0.909,1784.153"
"0.121,815.923,0.04294,50.00,0.911,1789.160"
"0.122,818.169,0.04304,50.00,0.914,1794.086"
"0.122,820.277,0.04313,50.00,0.916,1798.707"
"0.122,822.467,0.04323,50.00,0.919,1803.511"
"0.123,824.711,0.04333,50.00,0.921,1808.431"
"0.123,826.953,0.04343,50.00,0.924,1813.347"
"0.123,829.241,0.04353,50.00,0.926,1818.365"
"0.123,831.453,0.04363,50.00,0.929,1823.214"
"0.124,833.628,0.04372,50.00,0.931,1827.984"
"0.124,835.944,0.04382,50.00,0.934,1833.063"
"0.124,838.234,0.04392,50.00,0.936,1838.083"
"0.124,840.461,0.04402,50.00,0.939,1842.968"
"0.125,842.627,0.04411,50.00,0.941,1847.718"
"0.125,844.878,0.04421,50.00,0.944,1852.652"
"0.125,847.137,0.04431,50.00,0.946,1857.607"
"0.126,849.377,0.04441,50.00,0.949,1862.519"
"0.126,851.567,0.04450,50.00,0.951,1867.321"
"0.126,853.779,0.04460,50.00,0.954,1872.171"
"0.126,855.999,0.04470,50.00,0.956,1877.040"
"0.127,858.273,0.04480,50.00,0.959,1882.026"
"0.127,860.492,0.04490,50.00,0.961,1886.892"
"0.127,862.675,0.04500,50.10,0.964,1891.680"
"0.128,864.909,0.04509,50.10,0.966,1896.577"
"0.128,867.147,0.04519,50.00,0.969,1901.485"
"0.128,868.827,0.04530,50.10,0.971,1905.168"
"0.128,871.044,0.04539,50.10,0.974,1910.031"
"0.129,873.278,0.04549,50.00,0.976,1914.930"
"0.129,875.553,0.04559,50.00,0.979,1919.917"
"0.129,877.762,0.04569,50.00,0.981,1924.762"
"0.129,880.035,0.04579,50.00,0.984,1929.747"
"0.130,882.280,0.04589,50.00,0.986,1934.669"
"0.130,884.594,0.04598,50.00,0.989,1939.743"
"0.130,886.769,0.04609,50.00,0.991,1944.512"
"0.131,888.937,0.04618,50.00,0.994,1949.266"
"0.131,891.063,0.04628,50.00,0.996,1953.927"
"0.131,893.209,0.04638,50.00,0.999,1958.633"
"0.131,895.559,0.04648,50.00,1.001,1963.787"
"0.132,897.733,0.04657,50.00,1.004,1968.553"
"0.132,899.952,0.04668,50.00,1.006,1973.420"
"0.132,902.155,0.04677,50.00,1.009,1978.251"
"0.133,904.336,0.04687,50.00,1.011,1983.034"
"0.133,906.629,0.04697,50.00,1.014,1988.060"
"0.133,908.236,0.04707,50.10,1.016,1991.584"
"0.133,910.413,0.04717,50.10,1.019,1996.358"
"0.134,912.529,0.04726,50.10,1.021,2000.999"
"0.134,914.713,0.04736,50.00,1.024,2005.787"
"0.134,917.020,0.04746,50.00,1.026,2010.847"
"0.134,919.167,0.04756,50.00,1.029,2015.554"
"0.135,921.463,0.04766,50.00,1.031,2020.589"
"0.135,923.644,0.04775,50.00,1.034,2025.372"
"0.135,925.956,0.04785,50.00,1.036,2030.441"
